"tick","Imitating","Inquiring","Optimising","Repeating"
1.0,0.0,0.0,0.0,740.0
2.0,0.0,0.0,0.0,740.0
3.0,0.0,0.0,0.0,740.0
4.0,0.0,0.0,0.0,740.0
5.0,0.0,0.0,0.0,740.0
6.0,0.0,0.0,0.0,740.0
7.0,0.0,0.0,0.0,740.0
8.0,0.0,0.0,0.0,740.0
9.0,0.0,0.0,0.0,740.0
10.0,0.0,0.0,0.0,740.0
11.0,0.0,0.0,0.0,740.0
12.0,0.0,0.0,0.0,740.0
13.0,0.0,0.0,0.0,740.0
14.0,0.0,0.0,0.0,740.0
15.0,0.0,0.0,0.0,740.0
16.0,0.0,0.0,0.0,740.0
17.0,0.0,0.0,0.0,740.0
18.0,0.0,0.0,0.0,740.0
19.0,0.0,0.0,0.0,740.0
20.0,0.0,0.0,0.0,740.0
21.0,0.0,0.0,0.0,740.0
22.0,0.0,0.0,0.0,740.0
23.0,0.0,0.0,0.0,740.0
24.0,0.0,0.0,0.0,740.0
25.0,0.0,0.0,0.0,740.0
26.0,6.0,3.0,173.0,558.0
27.0,4.0,4.0,179.0,553.0
28.0,3.0,3.0,155.0,579.0
29.0,4.0,4.0,203.0,529.0
30.0,9.0,2.0,155.0,574.0
31.0,11.0,1.0,179.0,549.0
32.0,6.0,5.0,158.0,571.0
33.0,7.0,4.0,178.0,551.0
34.0,1.0,3.0,169.0,567.0
35.0,6.0,2.0,177.0,555.0
36.0,4.0,5.0,177.0,554.0
37.0,8.0,1.0,153.0,578.0
38.0,8.0,2.0,158.0,572.0
39.0,10.0,4.0,164.0,562.0
40.0,9.0,3.0,156.0,572.0
41.0,7.0,4.0,165.0,564.0
42.0,8.0,5.0,188.0,539.0
43.0,5.0,1.0,152.0,582.0
44.0,7.0,2.0,167.0,564.0
45.0,8.0,1.0,156.0,575.0
46.0,11.0,5.0,161.0,563.0
47.0,8.0,5.0,179.0,548.0
48.0,7.0,4.0,147.0,582.0
49.0,10.0,2.0,171.0,557.0
50.0,8.0,1.0,155.0,576.0
51.0,9.0,5.0,170.0,556.0
52.0,4.0,3.0,151.0,582.0
53.0,3.0,5.0,161.0,571.0
54.0,7.0,4.0,150.0,579.0
55.0,11.0,3.0,149.0,577.0
56.0,14.0,3.0,155.0,568.0
57.0,9.0,2.0,153.0,576.0
58.0,10.0,2.0,156.0,572.0
59.0,9.0,1.0,134.0,596.0
60.0,14.0,4.0,146.0,576.0
61.0,13.0,5.0,164.0,558.0
62.0,10.0,4.0,141.0,585.0
63.0,12.0,2.0,131.0,595.0
64.0,14.0,1.0,138.0,587.0
65.0,14.0,1.0,157.0,568.0
66.0,9.0,3.0,160.0,568.0
67.0,14.0,1.0,137.0,588.0
68.0,13.0,3.0,155.0,569.0
69.0,13.0,4.0,134.0,589.0
70.0,17.0,2.0,131.0,590.0
71.0,17.0,2.0,141.0,580.0
72.0,17.0,1.0,153.0,569.0
73.0,14.0,3.0,140.0,583.0
74.0,18.0,4.0,142.0,576.0
75.0,17.0,5.0,151.0,567.0
76.0,23.0,1.0,133.0,583.0
77.0,19.0,2.0,134.0,585.0
78.0,19.0,3.0,155.0,563.0
79.0,17.0,2.0,130.0,591.0
80.0,17.0,1.0,138.0,584.0
81.0,24.0,3.0,122.0,591.0
82.0,23.0,0.0,139.0,578.0
83.0,19.0,4.0,135.0,582.0
84.0,25.0,3.0,123.0,589.0
85.0,20.0,3.0,120.0,597.0
86.0,23.0,4.0,137.0,576.0
87.0,20.0,3.0,117.0,600.0
88.0,25.0,2.0,151.0,562.0
89.0,22.0,3.0,124.0,591.0
90.0,24.0,3.0,151.0,562.0
91.0,28.0,3.0,104.0,605.0
92.0,27.0,3.0,122.0,588.0
93.0,22.0,2.0,135.0,581.0
94.0,28.0,1.0,143.0,568.0
95.0,25.0,0.0,113.0,602.0
96.0,26.0,1.0,127.0,586.0
97.0,25.0,3.0,108.0,604.0
98.0,26.0,1.0,119.0,594.0
99.0,26.0,0.0,118.0,596.0
100.0,23.0,3.0,108.0,606.0
101.0,26.0,1.0,119.0,594.0
102.0,26.0,2.0,127.0,585.0
103.0,24.0,4.0,103.0,609.0
104.0,26.0,0.0,118.0,596.0
105.0,26.0,2.0,123.0,589.0
106.0,27.0,1.0,118.0,594.0
107.0,28.0,3.0,118.0,591.0
108.0,28.0,1.0,113.0,598.0
109.0,27.0,2.0,107.0,604.0
110.0,27.0,2.0,115.0,596.0
111.0,30.0,1.0,136.0,573.0
112.0,30.0,0.0,102.0,608.0
113.0,29.0,1.0,119.0,591.0
114.0,28.0,2.0,103.0,607.0
115.0,29.0,2.0,119.0,590.0
116.0,30.0,1.0,124.0,585.0
117.0,31.0,1.0,98.0,610.0
118.0,33.0,1.0,108.0,598.0
119.0,34.0,3.0,109.0,594.0
120.0,32.0,2.0,102.0,604.0
121.0,31.0,2.0,115.0,592.0
122.0,31.0,1.0,114.0,594.0
123.0,36.0,3.0,96.0,605.0
124.0,31.0,3.0,95.0,611.0
125.0,33.0,6.0,92.0,609.0
126.0,35.0,5.0,96.0,604.0
127.0,33.0,0.0,93.0,614.0
128.0,32.0,1.0,90.0,617.0
129.0,32.0,1.0,96.0,611.0
130.0,34.0,3.0,103.0,600.0
131.0,38.0,3.0,99.0,600.0
132.0,33.0,2.0,110.0,595.0
133.0,33.0,2.0,83.0,622.0
134.0,33.0,2.0,101.0,604.0
135.0,34.0,1.0,89.0,616.0
136.0,35.0,4.0,91.0,610.0
137.0,36.0,2.0,95.0,607.0
138.0,37.0,0.0,103.0,600.0
139.0,38.0,1.0,82.0,619.0
140.0,35.0,1.0,104.0,600.0
141.0,36.0,1.0,116.0,587.0
142.0,36.0,1.0,91.0,612.0
143.0,36.0,0.0,106.0,598.0
144.0,38.0,0.0,102.0,600.0
145.0,37.0,0.0,87.0,616.0
146.0,37.0,1.0,88.0,614.0
147.0,37.0,0.0,92.0,611.0
148.0,39.0,1.0,91.0,609.0
149.0,40.0,1.0,85.0,614.0
150.0,41.0,1.0,87.0,611.0
151.0,42.0,1.0,84.0,613.0
152.0,39.0,2.0,92.0,607.0
153.0,41.0,0.0,83.0,616.0
154.0,43.0,0.0,88.0,609.0
155.0,42.0,1.0,82.0,615.0
156.0,42.0,1.0,89.0,608.0
157.0,46.0,2.0,94.0,598.0
158.0,46.0,1.0,77.0,616.0
159.0,44.0,0.0,79.0,617.0
160.0,43.0,1.0,71.0,625.0
161.0,43.0,0.0,113.0,584.0
162.0,44.0,0.0,68.0,628.0
163.0,45.0,2.0,83.0,610.0
164.0,43.0,2.0,82.0,613.0
165.0,45.0,0.0,76.0,619.0
166.0,48.0,3.0,85.0,604.0
167.0,47.0,0.0,83.0,610.0
168.0,49.0,1.0,92.0,598.0
169.0,51.0,1.0,87.0,601.0
170.0,52.0,1.0,65.0,622.0
171.0,49.0,0.0,85.0,606.0
172.0,50.0,2.0,61.0,627.0
173.0,50.0,3.0,96.0,591.0
174.0,54.0,1.0,70.0,615.0
