"tick","Scooters","Cyclists","Non-Active Travellers","Pedestrians"
1.0,30.0,70.0,520.0,120.0
2.0,30.0,70.0,520.0,120.0
3.0,30.0,70.0,520.0,120.0
4.0,30.0,70.0,520.0,120.0
5.0,30.0,70.0,520.0,120.0
6.0,30.0,70.0,520.0,120.0
7.0,30.0,70.0,520.0,120.0
8.0,30.0,70.0,520.0,120.0
9.0,30.0,70.0,520.0,120.0
10.0,30.0,70.0,520.0,120.0
11.0,30.0,70.0,520.0,120.0
12.0,30.0,70.0,520.0,120.0
13.0,30.0,70.0,520.0,120.0
14.0,30.0,70.0,520.0,120.0
15.0,30.0,70.0,520.0,120.0
16.0,30.0,70.0,520.0,120.0
17.0,30.0,70.0,520.0,120.0
18.0,30.0,70.0,520.0,120.0
19.0,30.0,70.0,520.0,120.0
20.0,30.0,70.0,520.0,120.0
21.0,30.0,70.0,520.0,120.0
22.0,30.0,70.0,520.0,120.0
23.0,30.0,70.0,520.0,120.0
24.0,30.0,70.0,520.0,120.0
25.0,30.0,70.0,520.0,120.0
26.0,30.0,70.0,520.0,120.0
27.0,30.0,70.0,520.0,120.0
28.0,30.0,70.0,520.0,120.0
29.0,30.0,70.0,520.0,120.0
30.0,30.0,70.0,520.0,120.0
31.0,32.0,72.0,514.0,122.0
32.0,32.0,72.0,514.0,122.0
33.0,32.0,72.0,514.0,122.0
34.0,32.0,72.0,514.0,122.0
35.0,33.0,74.0,506.0,127.0
36.0,33.0,74.0,506.0,127.0
37.0,33.0,74.0,506.0,127.0
38.0,33.0,74.0,506.0,127.0
39.0,33.0,74.0,506.0,127.0
40.0,34.0,74.0,505.0,127.0
41.0,34.0,76.0,501.0,129.0
42.0,35.0,76.0,499.0,130.0
43.0,37.0,81.0,490.0,132.0
44.0,37.0,81.0,490.0,132.0
45.0,37.0,81.0,489.0,133.0
46.0,38.0,83.0,485.0,134.0
47.0,38.0,83.0,485.0,134.0
48.0,39.0,86.0,480.0,135.0
49.0,39.0,86.0,480.0,135.0
50.0,39.0,86.0,480.0,135.0
51.0,39.0,86.0,480.0,135.0
52.0,40.0,86.0,479.0,135.0
53.0,41.0,87.0,474.0,138.0
54.0,43.0,88.0,470.0,139.0
55.0,43.0,88.0,470.0,139.0
56.0,44.0,92.0,462.0,142.0
57.0,44.0,92.0,462.0,142.0
58.0,48.0,94.0,450.0,148.0
59.0,48.0,94.0,449.0,149.0
60.0,49.0,97.0,445.0,149.0
61.0,49.0,97.0,445.0,149.0
62.0,50.0,99.0,440.0,151.0
63.0,50.0,100.0,438.0,152.0
64.0,51.0,101.0,436.0,152.0
65.0,51.0,101.0,436.0,152.0
66.0,51.0,101.0,436.0,152.0
67.0,52.0,103.0,433.0,152.0
68.0,52.0,103.0,433.0,152.0
69.0,53.0,103.0,430.0,154.0
70.0,53.0,103.0,429.0,155.0
71.0,53.0,104.0,428.0,155.0
72.0,53.0,105.0,427.0,155.0
73.0,53.0,105.0,427.0,155.0
74.0,53.0,105.0,427.0,155.0
75.0,55.0,107.0,422.0,156.0
76.0,55.0,107.0,422.0,156.0
77.0,55.0,107.0,421.0,157.0
78.0,55.0,107.0,421.0,157.0
79.0,59.0,107.0,416.0,158.0
80.0,59.0,108.0,407.0,166.0
81.0,61.0,110.0,401.0,168.0
82.0,61.0,110.0,400.0,169.0
83.0,61.0,110.0,400.0,169.0
84.0,61.0,110.0,399.0,170.0
85.0,65.0,113.0,388.0,174.0
86.0,65.0,113.0,388.0,174.0
87.0,66.0,114.0,385.0,175.0
88.0,66.0,114.0,384.0,176.0
89.0,66.0,114.0,384.0,176.0
90.0,66.0,114.0,384.0,176.0
91.0,66.0,114.0,384.0,176.0
92.0,68.0,115.0,380.0,177.0
93.0,68.0,115.0,380.0,177.0
94.0,68.0,115.0,380.0,177.0
95.0,68.0,115.0,380.0,177.0
96.0,69.0,115.0,378.0,178.0
97.0,70.0,118.0,373.0,179.0
98.0,71.0,123.0,364.0,182.0
99.0,71.0,123.0,364.0,182.0
100.0,73.0,125.0,359.0,183.0
101.0,76.0,125.0,354.0,185.0
102.0,76.0,125.0,353.0,186.0
103.0,76.0,125.0,350.0,189.0
104.0,76.0,126.0,348.0,190.0
105.0,76.0,126.0,348.0,190.0
106.0,77.0,126.0,346.0,191.0
107.0,78.0,126.0,345.0,191.0
108.0,79.0,126.0,343.0,192.0
109.0,79.0,126.0,343.0,192.0
110.0,80.0,127.0,336.0,197.0
111.0,80.0,127.0,336.0,197.0
112.0,80.0,127.0,336.0,197.0
113.0,80.0,127.0,336.0,197.0
114.0,84.0,130.0,324.0,202.0
115.0,84.0,132.0,321.0,203.0
116.0,85.0,132.0,319.0,204.0
117.0,89.0,133.0,313.0,205.0
118.0,89.0,133.0,313.0,205.0
119.0,89.0,133.0,313.0,205.0
120.0,89.0,133.0,310.0,208.0
121.0,89.0,133.0,310.0,208.0
122.0,91.0,135.0,304.0,210.0
123.0,92.0,136.0,302.0,210.0
124.0,93.0,137.0,300.0,210.0
125.0,93.0,137.0,300.0,210.0
126.0,93.0,137.0,300.0,210.0
127.0,93.0,137.0,299.0,211.0
128.0,93.0,137.0,299.0,211.0
129.0,93.0,138.0,297.0,212.0
130.0,95.0,139.0,291.0,215.0
131.0,95.0,139.0,291.0,215.0
132.0,95.0,139.0,291.0,215.0
133.0,95.0,139.0,291.0,215.0
134.0,95.0,139.0,291.0,215.0
135.0,95.0,141.0,286.0,218.0
136.0,95.0,141.0,286.0,218.0
137.0,95.0,142.0,285.0,218.0
138.0,95.0,142.0,285.0,218.0
139.0,95.0,142.0,285.0,218.0
140.0,96.0,143.0,282.0,219.0
141.0,96.0,143.0,282.0,219.0
142.0,96.0,144.0,281.0,219.0
143.0,97.0,146.0,277.0,220.0
144.0,97.0,146.0,277.0,220.0
145.0,97.0,146.0,277.0,220.0
146.0,97.0,147.0,276.0,220.0
147.0,97.0,147.0,275.0,221.0
148.0,97.0,147.0,275.0,221.0
149.0,98.0,147.0,273.0,222.0
150.0,98.0,147.0,273.0,222.0
151.0,98.0,149.0,268.0,225.0
152.0,98.0,149.0,268.0,225.0
153.0,98.0,152.0,262.0,228.0
154.0,99.0,152.0,261.0,228.0
155.0,99.0,152.0,261.0,228.0
156.0,100.0,153.0,258.0,229.0
157.0,100.0,153.0,258.0,229.0
158.0,100.0,158.0,251.0,231.0
159.0,100.0,158.0,251.0,231.0
160.0,101.0,160.0,247.0,232.0
161.0,101.0,160.0,247.0,232.0
162.0,101.0,160.0,247.0,232.0
163.0,101.0,160.0,247.0,232.0
164.0,101.0,162.0,244.0,233.0
165.0,104.0,164.0,237.0,235.0
166.0,104.0,165.0,235.0,236.0
167.0,104.0,165.0,235.0,236.0
168.0,104.0,168.0,232.0,236.0
169.0,105.0,168.0,230.0,237.0
170.0,105.0,168.0,230.0,237.0
171.0,105.0,168.0,230.0,237.0
172.0,105.0,169.0,229.0,237.0
173.0,105.0,169.0,229.0,237.0
174.0,108.0,169.0,224.0,239.0
175.0,108.0,169.0,224.0,239.0
176.0,111.0,171.0,215.0,243.0
177.0,111.0,171.0,213.0,245.0
178.0,111.0,171.0,213.0,245.0
179.0,112.0,171.0,212.0,245.0
180.0,112.0,171.0,212.0,245.0
181.0,112.0,171.0,212.0,245.0
182.0,112.0,171.0,212.0,245.0
183.0,112.0,171.0,212.0,245.0
184.0,112.0,171.0,212.0,245.0
185.0,112.0,172.0,211.0,245.0
186.0,112.0,172.0,210.0,246.0
187.0,112.0,172.0,210.0,246.0
188.0,112.0,172.0,210.0,246.0
189.0,112.0,172.0,210.0,246.0
190.0,112.0,172.0,210.0,246.0
191.0,113.0,172.0,209.0,246.0
192.0,113.0,172.0,209.0,246.0
193.0,113.0,174.0,205.0,248.0
194.0,113.0,174.0,205.0,248.0
195.0,114.0,175.0,201.0,250.0
196.0,114.0,175.0,201.0,250.0
197.0,114.0,175.0,201.0,250.0
198.0,116.0,177.0,196.0,251.0
199.0,116.0,177.0,196.0,251.0
200.0,117.0,178.0,193.0,252.0
201.0,117.0,178.0,193.0,252.0
202.0,119.0,179.0,188.0,254.0
203.0,119.0,179.0,188.0,254.0
204.0,119.0,181.0,185.0,255.0
205.0,119.0,181.0,185.0,255.0
206.0,119.0,181.0,185.0,255.0
207.0,119.0,181.0,185.0,255.0
208.0,119.0,181.0,185.0,255.0
209.0,119.0,181.0,185.0,255.0
210.0,119.0,182.0,183.0,256.0
211.0,120.0,182.0,180.0,258.0
212.0,120.0,182.0,180.0,258.0
213.0,122.0,185.0,174.0,259.0
214.0,122.0,185.0,174.0,259.0
215.0,122.0,186.0,172.0,260.0
216.0,122.0,186.0,172.0,260.0
217.0,122.0,186.0,172.0,260.0
218.0,122.0,186.0,172.0,260.0
219.0,122.0,187.0,171.0,260.0
220.0,122.0,187.0,171.0,260.0
221.0,122.0,187.0,171.0,260.0
222.0,122.0,187.0,171.0,260.0
223.0,122.0,187.0,171.0,260.0
224.0,122.0,187.0,171.0,260.0
225.0,122.0,187.0,171.0,260.0
226.0,122.0,187.0,171.0,260.0
227.0,122.0,187.0,171.0,260.0
228.0,122.0,187.0,171.0,260.0
229.0,122.0,187.0,171.0,260.0
230.0,122.0,187.0,171.0,260.0
231.0,122.0,187.0,171.0,260.0
232.0,122.0,187.0,171.0,260.0
233.0,124.0,189.0,167.0,260.0
234.0,125.0,189.0,166.0,260.0
